source;target;correlation_up_healthy;correlation_down_healthy;correlation_up_cancer;correlation_down_cancer
l-phenylalanine;alpha-d-glucose;-0.208221829;;0.098285871;
l-phenylalanine;sucrose;-0.291985325;;-0.131036917;
putrescine;gamma-glutamylcysteine;-0.498299465;;0.5792467110000393;
putrescine;pyroglutamic acid;0.010919512688945462;;0.7426478138032809;
putrescine;ornithine;-0.117418932;;0.4768054282990408;
putrescine;l-tyrosine;0.060783897;;0.500439811;
putrescine;quinate;0.24571030521603718;;0.8076623732045136;
putrescine;l-phenylalanine;-0.19772261;;0.19558180728164593;
putrescine;4-acetamidobutanoate;0.37703692590002047;;0.9343810779477585;
putrescine;l-glutamic gamma-semialdehyde;-0.365443939;;0.3956028481501293;
putrescine;d-mannose;0.6690585830017887;;;
putrescine;d-galactose;0.7270299981843915;;0.4745630291411365;
putrescine;alpha-d-glucose;0.298549419;;0.30724023635923714;
putrescine;sucrose;-0.057458826;;-0.092121019;
gamma-glutamylcysteine;pyroglutamic acid;-0.092013601;;0.5870262221239109;
gamma-glutamylcysteine;ornithine;0.027414976981492884;;0.31631187000169286;
gamma-glutamylcysteine;l-tyrosine;-0.094699892;;0.6820073204718431;
gamma-glutamylcysteine;quinate;-0.046127625;;0.4519686407571955;
gamma-glutamylcysteine;l-phenylalanine;-0.046064707;;0.080335917;
gamma-glutamylcysteine;putrescine;-0.498299465;;0.5792467110000394;
gamma-glutamylcysteine;4-acetamidobutanoate;-0.009721417;;0.6769746843283464;
gamma-glutamylcysteine;l-glutamic gamma-semialdehyde;0.1796204724898524;;0.086941725;
gamma-glutamylcysteine;d-mannose;0.083844503;;;
gamma-glutamylcysteine;d-galactose;0.029952356799071555;;0.31181827068839196;
gamma-glutamylcysteine;alpha-d-glucose;0.057041643173458056;;0.31681390958530936;
gamma-glutamylcysteine;sucrose;0.3116406677611672;;0.1205817;
pyroglutamic acid;ornithine;0.5049951473018127;;0.6657278740295975;
pyroglutamic acid;l-tyrosine;0.5583236991837482;;0.5121350081774257;
pyroglutamic acid;quinate;0.26965374462596786;;0.8918640656398553;
pyroglutamic acid;l-phenylalanine;0.17182794760015999;;0.1822599413064018;
