source;target;correlation_up_healthy;correlation_down_healthy;correlation_up_cancer;correlation_down_cancer
l-tyrosine;d-galactose;0.10247258594141474;;0.5402157791723379;
l-tyrosine;d-galactose;0.10247258594141474;;0.5402157791723379;
l-tyrosine;d-galactose;0.10247258594141474;;0.5402157791723379;
l-tyrosine;alpha-d-glucose;-0.1256449782721944;;0.4093287113425148;
l-tyrosine;alpha-d-glucose;-0.1256449782721944;;0.4093287113425148;
l-tyrosine;alpha-d-glucose;-0.1256449782721944;;0.4093287113425148;
l-tyrosine;alpha-d-glucose;-0.1256449782721944;;0.4093287113425148;
l-tyrosine;sucrose;0.0613218233313018;;0.22614713933198904;
l-tyrosine;sucrose;0.0613218233313018;;0.22614713933198904;
l-tyrosine;sucrose;0.0613218233313018;;0.22614713933198904;
l-tyrosine;sucrose;0.0613218233313018;;0.22614713933198904;
succinic acid;3-(2-hydroxyphenyl)propanoic acid;-0.07162185370238916;;-0.3146730388260436;
succinic acid;phenylacetylglutamine;0.311721621890775;;0.26887555531284574;
succinic acid;l-phenylalanine;0.32494483815332514;;0.1817142313998937;
succinic acid;l-phenylalanine;0.32494483815332514;;0.1817142313998937;
succinic acid;l-phenylalanine;0.32494483815332514;;0.1817142313998937;
succinic acid;l-phenylalanine;0.32494483815332514;;0.1817142313998937;
succinic acid;putrescine;0.28596814923003333;;0.5742839822390299;
succinic acid;putrescine;0.28596814923003333;;0.5742839822390299;
succinic acid;putrescine;0.28596814923003333;;0.5742839822390299;
succinic acid;putrescine;0.28596814923003333;;0.5742839822390299;
succinic acid;gamma-glutamylcysteine;-0.5501628730250554;;0.4752154732204063;
succinic acid;pyroglutamic acid;0.46956462241698427;;0.6451619155085793;
succinic acid;ornithine;-0.1176347449613724;;0.7214415424500552;
succinic acid;ornithine;-0.1176347449613724;;0.7214415424500552;
succinic acid;ornithine;-0.1176347449613724;;0.7214415424500552;
succinic acid;ornithine;-0.1176347449613724;;0.7214415424500552;
succinic acid;l-tyrosine;0.2774995751105066;;0.4934864290321711;
succinic acid;quinate;0.33299223173305526;;0.7386331745666826;
succinic acid;4-acetamidobutanoate;-0.00340969508447449;;0.6586435228535318;
succinic acid;l-glutamic gamma-semialdehyde;0.19045001312432153;;0.3787309734317907;
succinic acid;d-mannose;-0.12240572824536496;;;
succinic acid;d-galactose;-0.053625676763573056;;0.7224787780850803;
succinic acid;alpha-d-glucose;-0.04415451751827321;;0.1496493985318768;
succinic acid;sucrose;-0.1706987538162195;;-0.11361310841946805;
3-(2-hydroxyphenyl)propanoic acid;phenylacetylglutamine;-0.3091139557500933;;-0.19083209525270328;
3-(2-hydroxyphenyl)propanoic acid;l-phenylalanine;0.2583920900042677;;0.21183181629505793;
3-(2-hydroxyphenyl)propanoic acid;l-phenylalanine;0.2583920900042677;;0.21183181629505793;
3-(2-hydroxyphenyl)propanoic acid;l-phenylalanine;0.2583920900042677;;0.21183181629505793;
3-(2-hydroxyphenyl)propanoic acid;l-phenylalanine;0.2583920900042677;;0.21183181629505793;
3-(2-hydroxyphenyl)propanoic acid;putrescine;-0.39514113025305064;;-0.151385867678205;
3-(2-hydroxyphenyl)propanoic acid;putrescine;-0.39514113025305064;;-0.151385867678205;
3-(2-hydroxyphenyl)propanoic acid;putrescine;-0.39514113025305064;;-0.151385867678205;
3-(2-hydroxyphenyl)propanoic acid;putrescine;-0.39514113025305064;;-0.151385867678205;
3-(2-hydroxyphenyl)propanoic acid;gamma-glutamylcysteine;0.25553539179845425;;-0.1566381166056438;
3-(2-hydroxyphenyl)propanoic acid;pyroglutamic acid;0.14340212957638565;;-0.016423742313437132;
3-(2-hydroxyphenyl)propanoic acid;ornithine;-0.02938276935089935;;-0.14807562209278927;
3-(2-hydroxyphenyl)propanoic acid;ornithine;-0.02938276935089935;;-0.14807562209278927;
3-(2-hydroxyphenyl)propanoic acid;ornithine;-0.02938276935089935;;-0.14807562209278927;
3-(2-hydroxyphenyl)propanoic acid;ornithine;-0.02938276935089935;;-0.14807562209278927;
3-(2-hydroxyphenyl)propanoic acid;l-tyrosine;0.13437389668605468;;-0.21026761019745505;
3-(2-hydroxyphenyl)propanoic acid;quinate;0.03209815782743658;;-0.117376404509651;
3-(2-hydroxyphenyl)propanoic acid;4-acetamidobutanoate;-0.21488902768634963;;-0.07146120921495987;
3-(2-hydroxyphenyl)propanoic acid;l-glutamic gamma-semialdehyde;0.37170663002659415;;0.19173514431384986;
3-(2-hydroxyphenyl)propanoic acid;d-mannose;-0.18279246116922318;;;
3-(2-hydroxyphenyl)propanoic acid;d-galactose;-0.23847702162081796;;-0.1510661519600744;
3-(2-hydroxyphenyl)propanoic acid;alpha-d-glucose;-0.11149092024571017;;-0.11318746992224085;
