"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"N5-(L-1-Carboxyethyl)-L-ornithine","50197234.35","53759563.17","33996084.35","31896482.39","36929815.76","13213266.83","39736608.96","20103405.48","17433100.13","23604846.31","23106610.72","23135645.73","15523490.32","20280461.32","20427800.7","42983077.18","32437199.72","35882442.48","14495407.55","13042099.47","19983819.84","24992711.48","22604716.62","15868406.77","19003325.09","21890205.47","17086168.06","23094120.96","26734959.69","4928567.999","5189240.793","32635162.61","36664511.55","34171257.9","18908389.82","53865001.43","21427949.34","13502578.48","20047003.07","24675386.5"
"Selenomethionine","6063650.172","16244021.4","52611266.08","15530287.04","20918332.36","4765886.014","17439985.48","4496741.998","6064402.721","5866358.348","4740865.013","4514617.753","19572904.83","23583426.21","17170866.17","5030224.459","5732333.828","22324224.62","28389127.14","39353014.68","11358171.26","174534568.9","140363468.6","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"Coleonol","1046.65582","1046.65582","1046.65582","1046.65582","12955990369","517460944.3","282013152.6","130656194.9","119059116.8","82086475.57","13556291.9","15530814","37233848.42","48532808.04","23752924.49","30378168.48","24388082.88","22121055.36","25787345.6","16932551.82","8209451.116","19302984.11","1764695.893","10991029.85","7217943.814","8229291.875","13063327.78","5392264.151","4234240.709","24111605.76","5232140.052","13558597.05","5197413.793","14742291.84","9956392.495","15016729.83","2646504.085","1295915.818","2915112.835","3907175.039"
"Bufotenin","31118455.17","4957493.38","25628155.74","28589633.11","3770055.067","12337003.31","33685799.49","19731449.28","16987185.15","17930139.26","22750183.31","21293856.17","12676756.89","21264270.98","19927054.88","4240785.668","28427987.46","33191255.94","13475617.45","11657283.55","14875166.48","18308068.34","17779095.02","11084022.19","10940924.03","11525013.11","7959564.688","11030754.05","12644424.66","5991633.439","10940352.98","21325459.08","13105792.98","15044429.74","11088950.15","21363964.9","11237388.43","6270464.283","9526267.868","25694507.19"
"o-Hydroxylaminobenzoate","17384903.99","24041970.13","14515080.11","16215402.22","18501931.19","17342299.33","13532779.9","16036065.33","20685708.78","13270655.95","14261688.58","16778239.92","22918778.61","17070515.14","15655547.81","16605847.44","18391519.93","15276578.69","14409368.17","11521046.43","10361883.09","11685540.79","17028474.4","6662431.374","7524277.438","8684030.935","7178309.482","10549790.93","6770877.7","11018747.2","6188254.203","5635575.952","9173038.882","11665977.52","6364881.582","8863974.842","7303937.837","8213413.492","4637330.957","3912777.406"
"Propantheline","14582074.96","22457649.9","20467595.95","23489129.28","23010540.46","13507816.62","18024604.43","13124201.17","17638861.68","15198036.41","11712174.26","22119581.63","17712113.89","25172350.41","14672666.16","15656031.69","14396219.23","15601212.6","16810752.63","13052148.47","7622581.705","17053499.04","6167626.67","11315113.98","13999344.6","5076727.852","8086792.288","13229151.54","8889941.227","18176094.6","12786068.64","10008063.27","7507626.614","13492253.63","6699130.897","13740050.24","9520924.413","16641936.47","8761105.607","31485424.34"
"4-Acetamido-2-aminobutanoic acid","19368715.82","16868386.44","16539011.09","17595193.6","18811307.94","15466071.93","22327288.45","21558205.02","15918662.33","17065131.55","14176331.58","17195194.63","17016074.64","16534239.57","20191830.84","21406741.64","19725798.07","18117074.91","15098320.37","16725670.7","30308723.07","31784007.96","48671353.23","56094549.71","140438396.2","225680211.6","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"Xanthoxic acid","14139628.32","11873148.56","14003102.25","13929435.98","10751206.34","12103819.77","10918582.44","12421399.61","12173202.36","10519762.08","11326615.4","9975256.008","13395744.99","9363263.41","12677328.12","11244053.09","11273885.08","14064097.48","9080309.831","10911120.04","11742963.53","12260869.55","12939619.17","1450275.681","12397388.32","14009452.8","14612150.9","19296586.15","15528934.74","14557222.83","13460608.46","15661191.59","8318190.695","17543788.29","15687686.3","20249606.59","14895484.76","513891.3149","14080471.8","57626263.81"
"(R)-5,6-Dihydrothymine","25528669.29","6259799.228","10282383.23","20158528.29","9070335.937","21172176.41","16606718.36","2618076.203","2548457.748","8397889.507","7271275.11","10777249.02","8981979.766","8349480.021","11746925.75","9499841.715","10919309.06","8347005.608","18537049.19","12750346.73","14675892.47","12480349.04","11992542.69","15571171.41","25889107.88","15605023.4","18007384.81","21438324.29","27323792.27","15824565.98","22471186.45","29760330.29","19749975.69","19673407.31","23441355.4","42828308.64","15300450.45","19280992.78","19541405.1","14792749.33"
"Aspartame","2908601.529","8579123.252","10427253.98","11478045.88","7992276.191","10252905.73","9900031.645","9492904.999","11990894.99","9729111.794","12727871.42","8851918.577","6933324.267","7566550.897","8589068.276","8536244.74","10055423.86","2620904.121","7350160.8","8464018.787","32094005.78","8917312.205","25354208.84","9327629.545","9040831.612","6817675.721","7992601.149","9947544.398","30890354.02","4270933.325","6581403.499","5773735.352","16280825.94","6451031.222","5788715.192","84652946.93","5457259.781","3056377.393","3200312.038","12977103.03"
"5-Oxoavermectin ''1b'' aglycone","8564073.438","7346515.604","12122648.25","13629099.55","13742345.43","9245127.169","12484234.73","9158360.785","11267017.44","6157011.667","7907510.395","13706652.82","12073845.51","16984686.74","9001627.066","11531468.25","8894667.713","11975834.93","9148389.881","8761927.223","8367776.915","21025911.83","10110108.64","16824305.72","29159593.01","13667938.37","38119007.71","69981580","48084168.91","145321538.8","160645350.9","93974797.23","207181683.8","397277484.2","157456647.1","301189285.5","78220721.55","62132354.92","17636688.51","12288427.97"
