"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"Pterin","44346724.68","47379162.7","37991437.95","51420207.64","49127580.24","49899375.79","29239350.75","38196574.35","31131016.14","44074082.51","32472086.97","35463470.36","49850530","32822812.69","50288489.12","35849116.47","33554390.27","36023171.9","47659427.47","44646842.33","41600280.57","44984342.42","49365364.77","56902800.15","67548255.35","51438329.43","48849368.27","53292152.56","50245820.5","49836259.04","71866300.16","55812403.76","52473473.92","53174807.63","50645124.36","48026224.19","52874574.24","24110361.35","48418820.05","33899085.84"
"Pregnanediol","161146026.9","82448531.23","177728406.4","42015374.57","174989906.7","142517625.4","86645085.77","166664263.4","29605349.85","110816385.5","62310551.03","67218258.43","43917622.71","34727755.95","31978734.9","127140303.5","212210751.8","83029808.7","20595632.42","68903994.15","65744534.42","153815637.9","180655885.1","227927158.5","248971737.1","95885047.24","42883409.81","108626436","121460167.9","42046537.01","28000800.35","11756958.24","23340211.88","25309113.87","16964132.09","55646386.83","31995387.58","63812497.56","631908668.7","1046.65582"
"3-Dehydroshikimate","150346523.9","154749718.8","100767233.4","74742746.43","71381073.37","148892596.5","70646787.35","172865280.8","146277274.4","63174861.23","99476671.05","131481879","133830674.6","154564008.5","63713975.75","54791348.86","97326171.1","97039917.47","47913042.38","88210164.93","48505150.42","47932838.99","44134480.83","53976038.48","58710538.3","56178615.84","54339558.43","53878492.45","67725402.61","78918641.46","71272607.18","54438763.23","58664300.75","64045277.91","56596117.96","69668015.16","61065838.43","44185177.94","38288049.28","28377498.49"
"Niacinamide","49818249.96","56746130.54","61003382.45","53104612.98","90653402.33","50588523.73","42853749.66","25918376.5","49373426.49","39831909.26","65779695.07","43855363.58","34975509.18","53302303.1","33891310.61","47187589.32","36585576.83","47582390.81","47763457.35","30735186.18","38478594.89","33397176.73","30210861.94","33826368.75","39377928.97","27517774.75","55608379","27488628.17","36649642.46","19952077.17","38419744.45","29332118.75","29864319.61","31511238.84","19613366.8","38408201.72","19846537.24","31993542.18","23381390.99","62994098.95"
"Cortisone","4977292.823","7538253.504","8260131.359","8094065.466","11432306.46","6320135.558","9341857.962","6112867.762","6595974.956","6459445.216","7452262.151","9134808.443","8910151.992","13221719.95","8664712","10272487.15","8023123.567","9159938.75","10200808.59","7857747.711","2761005.757","6365365.248","2336785.77","5750616.718","6302170.548","2764983.622","3389350.426","7233427.258","4331572.722","8497973.458","6233746.802","4240804.116","3110909.113","6628460.056","2680649.564","5419636.946","3676569.012","5321913.569","3707261.377","5667715.195"
"1-Hydroxy-2-naphthoate","251476804.5","287592543.5","233241838.5","270932104.8","53036674.41","140562289.6","275138316.8","198515290.6","550344804.5","107846765.3","66349342.73","115703736.6","66098317.75","17445898.84","55914477.84","29341377.51","35703852.25","53208949.52","167499576.4","10848325.42","164394148.6","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","79277163.04"
"Anserine","10007609.61","10491120","9446619.818","10773971.23","9875575.368","3378808.604","3996316.623","3265707.726","3369391.959","2810956.198","2923514.145","3795503.488","3828397.076","4157987.54","3742305.187","3300233.714","6006900.083","4024669.328","3469492.908","2934496.257","18025461.02","10826982.45","8835858.35","1860903.329","4344479.811","1729120.276","5456765.3","1440310.569","1406220.555","6700547.623","5800309.215","4830007.409","7503844.071","1188713.119","3964691.507","4196536.233","3241960.532","1141516.02","5271267.691","3792308.502"
"Butyric acid","22183675.55","20249562.97","16154337.5","5590344.091","14648638.14","16765441.75","4769448.063","4360089.579","19515911.02","29418055.89","18777012.91","6636269.625","30516369.14","32678786.79","42344205.18","29001456.31","44530712.28","36111325.24","48747605.48","70326362.16","10722572.96","3338808.657","11246139.94","2782668.653","2102029.424","2478978.682","12511274.89","7912678.033","7300289.306","9904047.365","10816991.93","6681349.789","19157252.5","6807840.31","2110591.379","8111692.756","11524174.05","2393506.059","20843721.97","1046.65582"
"Cadaverine","32814970.21","46883849.74","32156958.76","29296376.97","38997506.69","27759211.03","29413787.6","33861322.32","25208148.75","19891199.11","23080999.63","43494890.71","36777511.87","28674810.83","76477267.67","48704210.84","36064039.53","54963811.7","39367115.92","33019113.82","25281275.76","27650964.98","19421810.32","27038967.56","22186886.19","19218898.72","49619570.13","15933063.72","20362496.46","20984258.37","20793714.47","24891164.34","18000835.97","20828164.36","18968955.82","20170097","19347144.77","20376530","23732880.77","1046.65582"
"Fisetin","38015092.38","41536353.41","38483684.36","38373980.48","53282658.61","35150767.1","37759899.76","30831016.58","32531081.26","26207193.73","28640700.2","44604051.95","35141945.79","43016807.32","25915555.21","42229058.13","24898081.68","36179472.25","41974325.94","31325066.38","13575837.32","40777770.09","15045125.6","17937392.49","21191523.49","16107687.53","16067694.61","45628452.22","18988016.99","48763402.72","38704041.22","19652607.32","28319152.15","24182484.45","28075044.09","36962772.59","25205259.75","36004874.47","24359672.05","51027419.08"
"N-Formyl-L-methionine","10216212.98","21139200.96","34576298.8","16836641.85","24497078.31","13297184","24642467.68","5916729.754","13640810.74","30526556.33","34793057.33","9549010.118","19322833.24","6825360.182","29233990.99","27510743.82","10047728.12","24255751.35","39935763.87","24000231.98","31321081.56","25765960.04","13061030.41","31199730.96","31513091.63","16288643.01","25682557.53","13720016.46","14130795.51","28371598.63","29410778.02","23987728.62","10557729.83","10960267.11","25837623.16","35609829.11","17944794.21","40213693.56","46494510.11","120634139.5"
"Ergocalciferol","3565124.335","4669047.204","3779668.961","6136441.356","5805934.222","3048461.53","6919257.17","3674766.183","5712550.259","2092729.86","3113000.647","6434325.943","5797791.512","8503143.312","4101379.619","3118468.036","3400234.224","4552844.349","3146777.813","3523412.837","362705.2456","5936813.494","275431.5967","3441745.708","3311957.971","817396.7752","2289547.837","4117690.936","2505953.951","4937763.749","2195760.61","1844382.276","1387720.519","1952358.277","1696025.99","2993500.459","2057555.749","3580488.499","2667844.649","1046.65582"
"S-Carboxymethyl-L-cysteine","4326474.87","7911760.369","5268513.651","4178062.735","13285839.87","5799458.388","2486332.203","5689596.135","7766472.028","4837373.09","4651115.608","6473707.977","5862596.437","7935260.885","7177222.5","10314264.43","5933940.107","5039548.923","9130807.428","9746786.633","1583102.346","2160445.483","1722362.218","2185775.708","1516250.146","1069572.212","1135640.565","1387344.259","822815.5288","1022382.145","883352.8784","724871.9549","2125159.506","622337.4867","764340.4123","882989.2432","1763958.238","2127153.221","1491233.827","400385.9405"
"Dethiobiotin","5018116.738","17516371.11","15165727.14","15223640.86","14367166.95","11270074.26","13529827.88","14027467.5","13379629.58","9991589.769","10350876.28","14647433.94","13011994.66","19053923.43","13060358.44","14471260.65","13351136.82","15828507.38","17347654.24","13906731.32","4562853.406","3615691.989","3753020.426","26594417.26","17414382.52","3718687.033","4052800.387","3191976.52","5339885.224","19621160.77","3466859.129","3330888.556","3553725.84","3657912.169","3234830.195","2243781.656","9708946.814","9014566.029","4804356.077","3112765.367"
"S-Hexyl-glutathione","11737296.52","29874495.67","2909953.486","17357980.18","2890166.158","3204428.823","3455927.144","3384413.469","7225566.241","9835485.363","3474049.965","11632535.15","4730579.242","14596208.21","10786347.04","6557923.459","11505387.93","15590809.52","16551607.61","15969160.7","45298583.23","48726340.27","7347904.467","105643084.1","38393632.32","6128629.401","6249804.684","42654602.79","31998978.78","14892455.74","74107507.33","6549297.246","21551664.55","7200913.688","6123512.273","6566997.247","17711617","10678724.33","15156324.3","10370987.88"
"Spermine","15482533.33","14301570.31","17668569.84","20251368.32","20357315.04","17948517.88","17660160.75","4357044.706","15792840.17","18636481.35","3364750.417","11254186.21","9314449.151","9387349.805","8171500.696","7418659.091","7004215.862","6286490.653","5369032.985","5234881.971","16116941.82","14213908.62","16595558.06","13371580.36","14485085.63","13695697.14","13241359.29","12675820.29","12561704.33","11968285.05","13328605.01","12362078.35","16044272.11","8843638.51","11040512.77","14156640.77","10378157.99","11481139.37","9700012.648","7330846.933"
"4-Guanidinobutanoic acid","23307189.42","20467996.48","25028669.31","20359924.8","23764382.06","21537404.13","23969606.33","19467226.89","19831622.04","19989606.32","17883169.79","22952399.96","20838610.64","16926555.19","22887035.46","25603806.86","18316202.05","22667703.96","19708224.95","19351552.48","15229614.5","14885125.78","13360656.33","11232071.37","13236827.48","9546257.719","9477845.545","10501266.54","8351749.987","6549553.968","9387202.816","9346334.348","6121887.855","7852796.604","8580729.628","9646555.228","6029722.779","8364489.53","5686632.084","9338919.065"
"Ribitol","13268392","28573299.89","21086435.81","31994940.69","25982692.59","13941121.48","9576093.216","28067447.9","11987735.34","15279903.83","15409124.21","25315812.77","16722592.91","10282423.65","21839398.23","16704317.94","14429264.02","19225045.77","31199001.21","20766434.25","1750316.317","7394857.397","11135978.12","8160839.909","9000916.159","10149981.35","8404782.907","7017123.71","6942517.408","5170605.445","9030527.498","6887401.521","3022059.672","2583089.174","9089855.794","4428543.612","2492144.829","3909409.882","2512414.476","3630187.63"
"Dodecanoic acid","17930433.97","16882213.68","17050148.23","8643790.889","17067939.87","17726233.98","17400930.66","17373660.92","17077527.14","16879208.85","18415690.08","18221920.98","17654525.74","18469737.44","15253613.07","19667546.24","18055562.38","16013517.58","17014091.66","16674435.78","13170479.71","4231566.463","4273332.135","16749185.73","4221381.043","22536656.55","14850468.04","24111906.38","15041325.89","17793272.84","21383361.18","11586653.35","9642904.102","15364078.43","11933744.93","14255007.27","14688963.16","14391825.14","17348986.22","8041063.478"
"Oxoglutaric acid","65530509.57","67445625.03","54845038.09","76179275.58","58044249.98","36972847.79","102481772","94261308.58","84281825.05","78176500.05","94244177.02","64932464.82","48811072.9","60791550.24","66975585.1","57911064.27","58473091.52","72793335.46","60106417.32","56108165.84","78153846.71","52066108.08","85800988.95","79867048.84","53237320.12","65151138.34","51851907.4","39185130.17","72283123.49","45781679.91","39480117.9","85108743.95","107060683.4","79069738.23","82955459.09","55103985.08","51164893.62","35933792.02","31407900.3","82744826.13"
"Ascorbate","16528482.75","13610668.25","14416160.11","14482769.48","16097248.5","10588174","10578597.83","10708946.85","14129802.32","8334512.394","12235539.48","11770337.25","10415347.85","12048983.43","10485866.76","13868996.82","10545159.72","8666459.942","8444481.278","8339993.968","9476202.358","12381345.89","8335490.762","7546624.772","8575601.57","8018103.237","10917602","10130688.18","11193902.91","6294825.459","9238371.155","8654942.8","16160379.3","10847986.67","9619912.263","14987052.94","10585699.69","8453378.101","6345535.616","6842262.695"
"1-Aminocyclopropanecarboxylic acid","14905112.35","13297304.55","65139829.19","105904971.9","14674014.98","33270102.35","151955925.8","84089748.02","12646693.08","128771672.7","12201462.77","38857226.03","45849693.51","34186693.15","10192816.53","30276011.1","43429303.78","11057735.94","13561487.44","65677436.8","26111148.51","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"Pantothenic acid","12534375.05","11969862.23","11977606.39","13043774.89","13095094.07","12619981.77","12122814.68","9735457.304","10005655.38","12484682.94","9944790.748","10537189.9","8852310.549","11912610.87","8512504.78","10058285.33","11670747.83","7881868.349","9127813.282","11514736.16","8838996.997","9510418.649","8076234.41","8599064.171","6200140.062","7945193.326","6690076.714","6785023.244","6559692.563","6554667.505","6944583.581","6790128.799","6924376.022","6158240.365","6641734.294","6077661.378","6104606.079","5861966.411","6515285.219","7743265.673"
"D-Lyxose","6364533.832","4742883.785","3464060.615","6507370.42","5082569.495","4820205.775","5575303.322","6400746.912","7426914.546","3817483.369","6642045.176","5370389.729","6424546.635","7831525.46","6092172.965","8219046.057","6405929.487","7069349.008","8120738.122","6278861.43","7951481.528","5290296.711","5485687.911","8040762.283","7040157.637","5262102.18","6875123.325","5651075.839","7817111.637","5294423.35","8720625.845","7473070.271","18511939.54","9906191.67","7795602.967","11692691.08","8917672.934","7445493.43","7861202.775","9126660.041"
"Aniline","3842439.606","866293.1369","785684.4243","4203547.411","1096201.986","863011.8845","1183329.18","5486230.833","4947389.517","4369133.072","1037730.781","1307386.322","1361812.126","5808882.758","8608207.439","8275688.872","1680434.383","1715707.608","1856719.845","12707756.38","5339791.244","3843467.232","5990484.829","4823853.425","13751390.76","25658151.29","4244994.758","17238059.77","4565998.977","3289910.452","19567706.75","4350531.79","22337322.07","25202296.89","18869459.45","21274953.73","4700790.35","5457662.447","7557830.509","1046.65582"
"L-Cysteine","15011326.78","10610736.83","6977352.184","9392447.912","21257331.72","5674756.902","34267544.48","17569253.63","16245620.9","37022280.03","83164163.41","13257596.23","5397120.764","9635306.556","9702896.86","7499462.442","10048685.47","14252186.16","9990550.706","7408155.623","3468748.373","2974473.622","6501260.367","3584675.653","1759804.798","2345773.66","1686786.839","722576.1703","2208447.61","1398477.304","1526037.92","2012240.858","5539746.921","1622446.72","2313218.307","1797784.225","1084726.119","1477933.468","1653124.165","1069593.96"
"Catechol","8488320.634","7922365.518","26394305.8","46584510.03","6700060.612","30168986.31","27029826.87","74192287.98","25767841.8","77727167.72","25214646.24","8640665.858","7600034.892","32679673.12","9113138.195","57552011.41","9829214.568","11025955.41","40940155.23","73242231.91","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","19207045.94"
"Methoxamine","12783330.49","20976801.89","30421202.14","31769815.72","43471046.15","32301593.78","25768556.34","19088507.1","54150091.53","16430612","50854015.36","30707964.86","34880767.21","29899492.06","44093314.83","52160710.09","58710056.56","33473317.62","41883774.76","69915811.6","28478115.61","30368480.6","56650402.39","46799041.89","25878321.43","25717492.05","30337548.43","35764197.33","28201440.91","37237089.24","32100128.49","32345488.43","31865691.73","30208783.04","31777472.11","26090872.46","36545882.04","27884450.9","22337099.72","14665184.72"
"Acetylcholine","941768023.2","662709108.5","695083420.6","158492517.6","165190379.9","150715484.5","152587300.5","665669872","745229394.5","677675945.4","720860000.3","611096405.3","885839405.6","665725453.6","684487099.6","688295872.4","603506846.2","746702822.1","540588127.7","753701971.1","584342403.2","458472916.8","583250128.5","724705686.8","920178609.7","1103513701","788182965.3","777437908.4","926754131.7","948674694.7","990291462.9","365058401.5","1463328187","947706250.5","916448261.5","1316406482","977534298.5","1126404764","1198936597","885561262.2"
"Sphingosine 1-phosphate","142435675.2","112386005.4","174542329.6","195273481.9","193846059.2","229312398.9","157951983.8","121900146.2","188757071.2","146278519.3","147541986.4","181824199.6","193317244","152307772.7","144510308.2","139855796.8","128957210.4","148829575.1","149697773.2","131135939.2","181644041.4","162942877.8","170403486.7","166096112.8","172377102.2","152400056.8","210196022","148095372.6","140599526.6","137909247.3","180826620.5","171458416.8","160135114.3","131384739.2","141500486.5","175722345.1","136738681.4","140600838.4","102307732.8","189690197.8"
"Chavicol","91891544.49","190068092","190633567.9","198944166","222048622.1","190591340.1","113028429.7","102240712.4","91238750.23","204489745.4","94026418.64","166426207.7","150534525","155441622.1","146059476.1","171263939.3","148399019.6","120804921.4","143077017.6","130431401","171184249.7","139688907.8","70533558.23","113068148.7","105074668.5","65259477.81","117483356.1","76559503.2","102542737.6","93355643.1","118330124.2","137747505.6","72158290.52","136305578.8","123774392.6","121854898.2","138447697.8","3692853.661","121375670.2","91431256.93"
"Lubiprostone","14582267.07","20674383.3","14141906.82","22664968.71","23767032.01","15630628.52","18184172.03","13176663.76","14909417.7","15053784.17","11137793.23","18566947.79","16380188.29","21540824.8","10745062.8","13194252.16","11829363.66","14435040.34","15866798.49","11188508.82","6554121.973","19158185.69","7401289.202","14635738.35","17619880.04","8023720.531","13556919.05","26467216.51","18014581.8","33073129.27","24506414.04","18161149.83","16374971.36","28105822.65","13673694.2","30216248.91","18644143.53","23176717.46","16174141.26","42426844.79"
"6-Hydroxymelatonin","41886754.21","51598638.7","50927959.9","31938316.43","53736565.44","36229929.31","35724709.64","42315619.96","31525431.23","21772402.95","26205890.34","53375371.32","41702884.02","34137062.29","45747967.68","54396326.46","39285290.54","54372944.41","54954863.55","43677342.36","36519377.95","22609997.6","21210008.03","43268768.3","36348305.98","6029838.684","15957694.88","22167602.87","29057935.85","46440191.16","42824332.93","38385601.65","27770515.69","39846247.06","5283272.218","21824125.37","28889971.3","37610609.71","18241727.32","30177977.17"
"Metoclopramide","21890609.62","17215191.54","18814066.04","5533732.261","15510698.66","23172163.07","13645463.4","13955941.45","27875477.43","14118883.91","27621002.64","11339599.25","25318290.23","12552168.55","11845207.38","9211126.168","10394090.38","9793996.208","10989797.58","10051217.51","11902809.27","14596951.11","13605910.33","14037026.54","15794622.24","14602593.96","14000509.4","15710698.85","16094329.54","25126410.49","17245776.7","18947530.44","16350157.85","16546699.41","18710961.16","26117966.42","19019129","21556778.42","26390275.4","64777449.34"
"Enalapril","57296978.15","72393791.55","80854020.83","70659877.64","82729256.03","58404377.86","88613814.87","59912643.28","72946934.71","61581148.23","57932156.58","86292311.39","80702042.33","95860542.41","62241067.19","70172996","61410937.32","66450313.92","72294516.47","60378996.17","35219907.38","62882025.85","23492580.19","47988384.84","51221355.93","22108055.72","31331877.52","49615446.88","35273184.53","71148286.27","43989260.32","36059091.26","31224645.73","60265844.83","23245456.85","50408561.56","25554037.99","37843155.25","21044842.15","37320286.89"
"Oxyphencyclimine","54188566.9","71832095.71","67628750.51","80598594.33","90118311.01","65881355.33","60187190.93","37789171.26","64562646.83","54223593.33","31539086.57","79808869.87","70016507.09","88926443.2","52364550.35","71428032.2","50522006.76","43691886.68","63999399.78","60570715.61","19053799.04","62359873.26","20047750.5","29282267.65","31342541.45","25374461.51","19799325.3","59398051.36","32253980.22","66925428.85","53905594.46","33039873.46","31656234.92","46973136.79","33303401.86","53326982.67","32453153.18","4287280.123","31614706.7","67556067.56"
"Tamoxifen","102207453.4","64996485.65","84129283.05","91983083.11","78071332.95","60368034.05","86763034.92","79513597.2","71589118.13","63966117.82","66553435.08","78527696.41","47893535.93","72349426.09","50396006.54","72319221.65","37278927.44","63660162.33","60274245.2","48064052.41","13604849.15","14871233.52","39832666.83","9522980.767","28199784.99","32050624.26","28582168","24357918.91","30471512.54","36915758.84","27960930.85","26213857.77","7342100.382","27107795.71","8107750.106","8059279.516","26488917.2","21315783.97","15016452.26","5675728.63"
"Mirtazapine","78266112.13","104939874.9","72617323.42","73323139.41","78479209.5","101170595.3","59150475.82","60835989.73","75093544.53","61744504.54","57683240.71","80924190.4","61278166.27","52026106.7","71813116.8","49842920.91","45697579.08","48085937.03","44881063.71","40098179.43","67730320.29","68169716.23","69709217.97","61379571.03","50974065.62","64829861.01","55172399.94","57160957.74","78080525.67","47622361.65","46824233.99","55825106.37","109322892.2","70739425.72","54573145.79","65791721.68","48920998.23","49906465.19","62017643.46","48388644.96"
"Azacitidine","18709597.01","19429485.88","16473766.32","13355200.99","19574830.81","16645842.45","18327668.61","25172819.87","21452778.94","22737552.34","28395470.74","29171409.48","54950248.14","26393512.63","52375442.73","38914367.76","58497793.92","36320946.56","40278006.18","52613059.74","27151196.74","19724606.77","40364683.36","63207844.07","27317607.81","26199694.32","15065218.36","19496782.26","26736920.85","21258823.62","39637218.97","25529782.72","15350614.29","24749429.42","26702687.54","17193768.38","26027257.67","35803314.94","16708579.77","20865124.91"
"Bupropion","52797125.21","62554278.4","58375480.84","35343768.48","49338083.57","28582246.5","43375124.42","51605987.05","25618093.54","16730667.97","25706366.87","42294973.32","24623849.52","33513211.77","47989197.48","33001268.87","41851332.86","55842450.37","30260090.47","21496652.88","8521620.369","6760264.51","30321783.23","14194344.31","7974527.948","28399330.69","5311515.096","5003106.826","10869655.82","48158239.59","32636447.09","11836684.79","8789135.153","46851778.52","3631178.664","4720988.86","2587787.642","13930212.95","1740398.055","1481716.866"
"Dicyclomine","25308976.31","20332760.42","19754544.05","20005301.17","7570029.642","7649322.629","6569885.129","8406735.276","8519308.565","9689750.005","6713022.45","7909064.488","4540214.902","5498405.988","4802153.276","6295888.631","4590473.494","6307335.518","6278679.397","5845480.816","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","178810146.1"
"gamma-Glutamylalanine","15596949.83","15373861.74","13400049.55","15607641.69","12521267.46","13708897.06","12550048.03","13554418.6","11438351.03","11247770.55","6122844.214","14989781.26","12348162.64","18444084.69","12545463.78","12801358.78","17605470","20268473.79","16185449.72","9522617.245","17236823.03","16950015.9","21233322.69","15460425.89","25813500.44","16009629.66","11439763.24","21915466.08","17205268.23","16278112.04","16228183.91","14786757","20695707.13","17725397.06","27314121.53","44796083.42","18268001.38","3884440.36","7749934.708","9407134.802"
"Biotin","27368013.54","32156962.43","29881187.63","33425866.3","38147038.16","22426277.94","44241584.2","26782686.71","36498301.9","26926769.1","23858867.85","36619585.81","39575684.38","35207323.37","22856138.59","25179027.21","26661254.02","30199353.51","23242993.37","21610270.86","16487732.05","28367408.02","14494025.47","20540646.29","24677572.78","9837272.13","20808543.42","28728817.3","15143010.57","37307016","22040167","17756581.69","15080356.87","24910042.49","10471427.57","28314519.67","12292454.75","24469733.89","13248862.49","22360440.51"
"Sphingosine","13901248.2","9023758.312","13092849.5","17931641.19","14729533.77","15870914","12915437.54","10605446.32","15193652.24","14532140.85","13516644.06","19007487.42","11686102.61","11176537.81","10232725.48","12827930.61","12392002.72","10618928.23","9060618.218","9845596.477","26573339.25","21950533.83","25267846.77","63056063.81","24495785.17","25182876.14","35120193.91","69170289.91","46961774.48","22910339.47","24591631.26","30740573.74","59478256.16","48671210.18","29041730.83","82015365.28","49159245.22","3065391.769","74785997.44","1046.65582"
"Progesterone","14736922.5","11109091.9","8174504.785","11265730.1","10957048.13","2564089.437","22994382.64","10274861.41","13525974.01","11187923.88","21001198.08","22296968.83","11111365.64","17082646.35","17240820.31","17611086.48","16787724.71","11574899.11","10139591.74","8810320.872","1338078.902","360940.5422","9732516.309","2077076.718","1528583.108","1997599.342","2836616.926","9498912.197","13084320.59","4668826.76","18197151.99","12321528.82","6814389.584","13797790.28","14579346.77","19470540.32","10089337.14","51190.26563","7044024.531","5652422.161"
"Neocnidilide","8539818.018","23949496.22","22922831.73","27810702.17","15535069.5","26968013.21","27336523.92","30583652.82","11676460.33","28897137.99","12142227.64","27817300.34","21996019.81","17448443.27","14525927.47","22582738.72","21193609.48","18594064.01","19982858.92","12633362.11","21784271.19","26765283.34","15468040.2","27316927.78","28180511.34","19792714.27","34712165.23","23715678.35","32963793.65","32896159.99","40727798.78","46054879.64","30321790.24","39142694.83","45582297.44","43220007.51","46875123.54","37273245.75","30114216.73","13797753.52"
"Ipratropium","42400711.51","57963834.76","39249654.66","68582142.77","84813822.39","54650928.67","63903024.51","64246525.08","77614974.35","52226096.39","58005597.36","85532191.53","141936957.8","111123369.4","63177935.85","71628208.61","53827707.65","69815659.23","87460075.11","69952147.38","42165761.23","76335782.16","37092655.01","43210588.18","74423662.7","10234849.89","40294320.93","73538041.45","51958007.68","120166880.5","65063508.14","44579396.63","38643148.12","59265218.62","44477236.22","58218392.64","42436520.17","41960776.31","35372698.27","78734044.4"
"Chlorpheniramine","6113028.211","9416369.84","5789821.765","4412240.56","5384237.452","2124933.966","6103802.283","5758614.153","3948352.514","443951.5453","3548766.95","6652372.168","6705435.323","4505268.026","8798037.391","6680288.669","8491016.946","15660412.44","9481800.897","4759531.354","4137534.671","372165.9097","3354428.408","5581779.367","2571532.554","3483750.508","1073193.903","169314.9968","2590844.39","3136543.474","2357422.178","3090546.382","1331902.523","3298360.423","1224162.499","700822.67","1310913.843","1721249.515","1644042.959","4456770.887"
"Sinapyl alcohol","2904621.635","4759937.018","2063514.411","421077.4748","478668.6114","495627.4275","2681804.882","894504.3391","585625.6711","488861.438","4440503.647","8452984.369","3275868.319","723504.6117","12566520.18","17041941.37","2237344.9","1131323.964","997469.5816","3977718.89","13104207.06","781012.6797","5187533.833","16611070.14","5034003.842","10853174.99","5946387.465","23480143.85","9738790.217","8935484.828","3856334.604","4654319.82","5393204.299","3334071.035","3370489.512","4318908.066","2029313.649","33335063.2","940939.2219","36771065.37"
"Cyclohexylamine","2705215.545","7279718.658","2167150.052","2672021.916","6865240.726","4405924.853","8501120.033","10477294.5","3044041.645","2840546.905","5172899.269","7509823.908","12201641.18","13902116.83","15362477.71","4663460.699","5667287.873","6048380.058","6072180.907","7178640.138","9749080.753","9009837.052","3895239.254","4456814.142","4160249.891","5128603.742","12972870.64","3307153.241","3288461.741","3090366.012","4491143.281","3072260.95","3581088.194","10120732.78","2901655.014","9453298.47","14808022.21","4025515.966","3100211.566","1495961.717"
"4-Hydroxytamoxifen","3783473.057","4385124.64","5162047.451","4427483.558","4274208.458","3186437.524","4518268.818","4264783.314","4731791.213","3502042.197","3508150.962","5308580.634","4454661.329","5589761.728","4508408.9","4557091.627","4805058.018","5772986.384","4857377.603","4955706.964","4577282.379","3189246.004","1756952.363","3029632.159","671695.4494","2476691.494","1609654.225","2332412.957","1560401.133","2899537.259","471771.2025","1541914.724","1637104.981","1924398.272","379644.268","1871356.052","1687784.879","2706275.182","537774.5021","1046.65582"
"Nalbuphine","3937584.352","27108896.25","27997953.07","22435130.1","32599356.18","19098568.49","17492989.82","23056693.87","3928756.198","4035243.738","3646902.236","24447498.7","6412079.91","4732596.706","14875419.14","5759690.6","17890478","12929888.45","4137354.672","2191431.792","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","42741620.37"
"Calcitriol","4356380.888","1374481.31","6581139.138","12632424.26","10505413.07","5831636.766","938273.1493","4512541.815","664664.6527","1112548.389","3012642.656","3724371.676","3629300.798","5084547.232","923444.0414","3780459.323","5373455.229","8760140.681","5081635.809","5716570.297","2407621.787","4406160.113","11560694.63","3770316.136","7141567.558","2820700.914","4339540.5","7737649.435","4696354.877","7408835.131","5658118.269","5089114.008","16587792.06","6219825.862","9405944.086","15254069.86","8876115.636","583191.385","4749021.889","9364045.766"
"N-Acetylhistidine","57589966.06","31094237.36","35390737.47","38536600.83","59234408.15","46248163.62","35675274.37","37366472.68","39419557.46","39564200.18","35307395.12","58598751.77","46717694.19","57000623.1","57674784.43","62045490.28","61653920.33","51099295.25","50071421.75","71446438.59","40747308.86","34369321.1","30364381.84","24743730.05","25891846.34","18012003.05","31298323.03","20729007.4","13245705.2","11061888.47","26742268.2","12207513.32","31530932.72","14782423.47","15987779.41","20709583.64","30840108.75","27774086.76","23757930.19","33823620.32"
"3,4-Methylenedioxyamphetamine","117569038.9","115708402.3","133564481.2","312034238","79371273.22","135471735.3","122556229.7","99990952.17","118544689.2","120029011.8","103841853.3","247818192.1","79620802.93","86172599.28","74169115.56","68456192.81","79430376.66","67490737.1","209619700.6","80570385.35","28985082.67","47052981.56","46300921.71","32394482.26","8082398.187","47968991.8","63528554.33","100620885.7","72867475.38","89640372.23","42067638.58","43956015.18","104403124.9","57148559.21","130893582.6","59153590.56","51826126.89","13757713.58","107645468.9","1046.65582"
