"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"Methyleugenol","-0.04454266"," 0.30750285"," 0.15940139"," 0.12382412"," 0.36317886"," 0.21499453","-0.35064397","-0.36489316","-0.40224413"," 0.44059264","-0.41306824","-0.13812506"," 0.05186309","-0.13331868","-0.17870493","-0.07001925","-0.22088963","-0.31182910","-0.31583476","-0.18441553","-0.03704066"," 0.15866710","-0.25070692","-0.06246464","-0.11911407","-0.17758596"," 0.30366366","-0.21500558"," 0.06252094"," 0.24469289"," 0.22875145"," 0.58693176","-0.21978081"," 0.01452910"," 0.22137355","-0.13807259"," 0.24491020"," 0.27041369"," 0.30440232"," 0.04608622"
"L-2,4-diaminobutyric acid","-0.21274984","-0.22557062","-0.18920208","-0.19302386","-0.23816027","-0.16543222","-0.18749866","-0.24545461","-0.25113878","-0.12912850","-0.28094207","-0.17125331","-0.26463259","-0.25631265","-0.22208884","-0.23042800","-0.17777060","-0.23532307","-0.26260771","-0.21173899","-0.20426487","-0.11052560","-0.03434167","-0.03665613","-0.02731668"," 0.04343992"," 0.24383393"," 0.32130257"," 0.27163000"," 0.18423753"," 0.22058891"," 0.37809490"," 0.39460919"," 0.40584033"," 0.44857349"," 0.71905793"," 0.41132116"," 0.27974183"," 0.20812118"," 0.23316937"
"N-Acetylneuraminic acid","-0.138991459","-0.183129418","-0.077548126","-0.026945374","-0.086473325","-0.114791291","-0.139262989","-0.077621545","-0.106893284","-0.108153770","-0.123148542","-0.030980908","-0.196107657","-0.091104873","-0.095001919","-0.132042281"," 0.025378142","-0.197884417","-0.167324910","-0.203282481","-0.097879755"," 0.071801040"," 0.040559551"," 0.428560279","-0.042915544","-0.065788999"," 0.191357442"," 0.106055758"," 0.370117629"," 0.146284886"," 0.260693365"," 0.129054051"," 0.103973231"," 0.219170150"," 0.003506889"," 0.694098162","-0.026564705","-0.062661833"," 0.107790667","-0.305901838"
"Retinol","-0.361330904","-0.235005793","-0.230220531","-0.273706844","-0.184825765"," 0.377611696","-0.096871638","-0.188274912","-0.069627908","-0.032446525","-0.043924929","-0.036344954"," 0.167945260","-0.054921537"," 0.448783591"," 0.082488393"," 0.337706338","-0.087700249","-0.172750449","-0.132790829","-0.121462822"," 0.048192695","-0.135406578","-0.329660108","-0.116839087"," 0.078017879"," 0.166155656","-0.196074704"," 0.016515062"," 0.148924228","-0.055521189","-0.005466284","-0.119333119"," 0.638669096"," 0.170433408"," 0.118036123","-0.038523921","-0.069428026"," 0.050287170"," 0.538693008"
"D-synephrine","-0.14404213","-0.15898162","-0.12172267","-0.13583784","-0.15102226","-0.13615509","-0.21841914","-0.15716283","-0.22472207","-0.10767553","-0.18288837","-0.12627231","-0.14394473","-0.15589977","-0.17413941","-0.14556448","-0.11995226","-0.14881343","-0.22514537","-0.13738978"," 0.24082160","-0.12965882"," 0.34452520","-0.09517482"," 0.29277446"," 0.50044284"," 0.77485463"," 0.71735264"," 0.48444200","-0.11876463","-0.11106672","-0.12467050","-0.10444724"," 0.18288609"," 0.23831837"," 0.55693058","-0.13598003","-0.16122631","-0.14869910","-0.08790916"
"Pyrrole-2-carboxylic acid","-0.054114123","-0.054114103","-0.054114142","-0.054114148","-0.054114134","-0.054114109","-0.054114132","-0.054114088"," 0.945885852"," 0.260875915"," 0.021756818","-0.034501777"," 0.010645520"," 0.040185675"," 0.030011531","-0.007897958","-0.026787974","-0.027163273","-0.022991971","-0.024798084","-0.046539192"," 0.002926597","-0.033372398","-0.035811497","-0.038239158","-0.028147695","-0.048620318","-0.050111252","-0.035387047","-0.011898058","-0.036525221","-0.049783042","-0.049994669","-0.050405601","-0.017618870","-0.041044908","-0.037141634","-0.049043351","-0.030832674","-0.044717307"
"4-Hydroxyphenylacetaldehyde","-0.077306176"," 0.217487193","-0.063475256","-0.062630963","-0.059810405","-0.153168814"," 0.080735181"," 0.100240598","-0.002909751"," 0.043656707"," 0.042501253","-0.017190453","-0.075938711","-0.093928935"," 0.011315768","-0.091031219","-0.072857186","-0.207583611","-0.367097431","-0.039580038","-0.218859974","-0.200951477","-0.108863102"," 0.352305509","-0.276480922","-0.007886156","-0.319830321","-0.171602260","-0.043911472"," 0.206295647"," 0.222289751"," 0.123818377"," 0.632902569"," 0.223126577"," 0.157977558"," 0.004582388","-0.036910778"," 0.062708865"," 0.058046670"," 0.229814801"
"N-a-Acetylcitrulline","-0.039999111","-0.032461798","-0.039749982","-0.040762520","-0.033750939","-0.068211274","-0.065566654","-0.066422008","-0.069207283","-0.067707124","-0.070924195","-0.065019587","-0.065209321","-0.065516430","-0.063520825","-0.067354768","-0.052437980","-0.065997214","-0.070752678","-0.068672028","-0.001497743"," 0.006735932"," 0.025567530"," 0.122908895"," 0.320763585"," 0.914075924","-0.085924022","-0.085924075","-0.085924060","-0.085924015","-0.085924076","-0.085924022","-0.085924038","-0.085924061","-0.085924021","-0.085924076","-0.085924024","-0.085924001"," 0.771502788"," 0.050275298"
"8-Amino-7-oxononanoate","-0.083296767","-0.082443838","-0.002518167","-0.061070389","-0.014430026","-0.015189263","-0.062299789","-0.013851300","-0.041942824","-0.076526977","-0.076464969","-0.037639923","-0.058433010","-0.067293049","-0.038959114","-0.089566015","-0.040451593","-0.044132284","-0.100751359","-0.094398173","-0.103048160","-0.059932759","-0.029448531","-0.099948898","-0.093946239"," 0.043052077","-0.021832657","-0.008518626"," 0.074591402","-0.072305189","-0.027359001"," 0.063795376"," 0.356850733"," 0.035886845"," 0.014383958"," 0.085519451"," 0.209359408","-0.044576730"," 0.889568184","-0.110431816"
"N-Acetyl-L-aspartic acid","-0.130147505","-0.144223723","-0.171861886","-0.172665951","-0.181143182","-0.185377214","-0.162362790","-0.180163350","-0.188980430","-0.164350002","-0.168772090","-0.180014838","-0.078959919","-0.165225584","-0.164350632","-0.153440805","-0.135205497","-0.155174321","-0.180242741","-0.165798329"," 0.232171045"," 0.024385409"," 0.062082530"," 0.064577545"," 0.196736430"," 0.232717753","-0.134867054"," 0.293558367"," 0.080831880","-0.145305427"," 0.231832767"," 0.059715909"," 0.811019570"," 0.475312988"," 0.191731263"," 0.273788333","-0.030246241"," 0.277235885"," 0.026431219"," 0.004750619"
"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate","-0.006556468","-0.009355014","-0.012666411","-0.025668365","-0.041781267"," 0.014802042","-0.038829489","-0.029828882","-0.035206247","-0.030117747","-0.058254374","-0.079166826","-0.041088997","-0.021208608","-0.051222056","-0.061058409","-0.040742022","-0.045493319","-0.067471756","-0.058165219","-0.060045876"," 0.009064266","-0.067885837","-0.099196582","-0.027526470"," 0.009655339"," 0.049732944","-0.028271676"," 0.025559350","-0.063152874"," 0.018488466"," 0.034448915","-0.003334987","-0.010605770"," 0.039611619"," 0.094600869"," 0.038057161","-0.001386721"," 0.890633649","-0.109366351"
"Salidroside","-0.24757826","-0.24712922","-0.25090764"," 0.12977830","-0.24750203","-0.24501026","-0.24398495","-0.12133661","-0.24694114","-0.13003222","-0.24207652","-0.22539145","-0.22668336","-0.22851484","-0.14021104","-0.22004444"," 0.06169836","-0.19729771","-0.08577673"," 0.26499051"," 0.26844574","-0.04060294","-0.06067619"," 0.19866493"," 0.62700092"," 0.23962898"," 0.14831253"," 0.06382609","-0.08947367","-0.05425441"," 0.68752437"," 0.11020304"," 0.74909236","-0.10308318"," 0.29125575"," 0.10689330"," 0.25693374","-0.10141190","-0.12520570","-0.08312255"
"L-Glutamic gamma-semialdehyde","-0.190971040","-0.194318657","-0.205966282","-0.138935555","-0.078004092"," 0.019366691","-0.220536254","-0.178913600","-0.156610108","-0.062783679","-0.204627988","-0.137239434","-0.097924299","-0.185755008","-0.229205997","-0.090938454","-0.208457925","-0.233168166","-0.127095090","-0.003808596","-0.127459265","-0.151609331","-0.226721944","-0.056196018"," 0.140915099","-0.162280802"," 0.454597634"," 0.256065455","-0.139549040"," 0.183545516"," 0.092674723","-0.072479892","-0.088910238","-0.055669561"," 0.294648279"," 0.152164587"," 0.688415201"," 0.615806285"," 0.361105010"," 0.766831834"
"(S)-Methylmalonic acid semialdehyde","-0.022690321","-0.030406952","-0.030589354","-0.028880928","-0.024974028","-0.037847636","-0.017599768","-0.036867650"," 0.007335934"," 0.021238086","-0.022523279","-0.026944552","-0.002243588"," 0.017964300","-0.009223957","-0.026445566","-0.015887939","-0.038627636","-0.021009156","-0.015049517","-0.040584391","-0.028937378","-0.032243158","-0.020287941","-0.028416869","-0.020303120","-0.039493728","-0.026710540","-0.034076512","-0.031357529","-0.032464411","-0.039356002","-0.039876713","-0.014818925","-0.027533128","-0.039456675","-0.019452224","-0.034600352"," 0.955621553","-0.044378447"
"(S,E)-Zearalenone","-1.250536e-01","-1.217561e-01","-4.712637e-02","-1.228601e-01","-2.415585e-02","-1.012482e-01"," 2.597510e-02"," 6.128537e-02"," 5.427748e-02"," 1.225386e-01"," 2.679828e-01","-8.552894e-02","-3.951944e-02","-8.246673e-02"," 1.157406e-01","-7.337011e-02","-4.864706e-02","-6.674653e-02","-6.824864e-02","-3.183921e-02","-1.253665e-02","-7.782899e-02","-7.560634e-02"," 8.749464e-01","-9.200844e-02"," 4.196334e-02","-7.590613e-02"," 8.764228e-03","-7.665967e-03","-9.417183e-02"," 2.582661e-05","-3.126391e-02","-9.310893e-02"," 4.842315e-02","-1.955369e-02","-5.307878e-02"," 4.064736e-02"," 2.655071e-02"," 3.455915e-02","-5.238365e-02"
"Tetrahydroharmine"," 0.23239630"," 0.01211042","-0.06255318"," 0.06523119","-0.14625285","-0.30579133"," 0.29141952","-0.10645266","-0.22482053","-0.06481182"," 0.27915225","-0.03404062","-0.12845069"," 0.13799869"," 0.26360458"," 0.14630558"," 0.52657573"," 0.51102794","-0.15332005","-0.04807641"," 0.04662515","-0.03528514"," 0.36883333"," 0.18799618","-0.16539814"," 0.19391812","-0.47342427","-0.26793009"," 0.01306033","-0.09778767","-0.09966164"," 0.42950549"," 0.09232890","-0.23813650"," 0.00812049","-0.18661983","-0.14272005","-0.36452715","-0.28020860","-0.17994098"
"D-Phenyllactic acid"," 0.1711813631"," 0.0009041362","-0.0449566324","-0.4173248377","-0.2085020009","-0.0654322782"," 0.2385998172","-0.4810296910"," 0.0180193442","-0.0694421101","-0.2145690760","-0.4044207249","-0.1728748597","-0.0025792700","-0.1601160025","-0.0536619832","-0.0393458975","-0.2325116955","-0.1759170328","-0.1691791199","-0.0888475542","-0.1898756701"," 0.0233695442","-0.2378533324"," 0.2148360014"," 0.1671648746"," 0.2222314426"," 0.2063623172"," 0.0337711251"," 0.0247945676"," 0.2218305464"," 0.4429263722"," 0.4945119435"," 0.0773208350"," 0.1364811960"," 0.5189703090","-0.1590001268"," 0.1721352825","-0.1491197000"," 0.3511485774"
"2-Oxoarginine"," 0.18964747"," 0.35522063"," 0.20566570"," 0.19061688"," 0.39484205"," 0.17736912"," 0.25060958"," 0.15474565"," 0.13382185"," 0.11138982","-0.22634178"," 0.27629340"," 0.23230479"," 0.25420886"," 0.19908406"," 0.17156751"," 0.16741099"," 0.20994677"," 0.09403647"," 0.14827153"," 0.72405724","-0.24016158","-0.26868292","-0.22652655","-0.21073991","-0.19672904","-0.23401755","-0.27594276","-0.19438691","-0.12769368","-0.22172267","-0.20277925","-0.27120115","-0.26750497","-0.26618313","-0.26926621","-0.18864540","-0.25341167","-0.25142043","-0.24775282"
"Antiarol"," 0.068712443"," 0.242201030"," 0.125735186","-0.038434537"," 0.220844733"," 0.113110530"," 0.054597777"," 0.116904039","-0.102892983","-0.085393576","-0.136270012"," 0.037014566"," 0.044147057","-0.103065338","-0.056537120","-0.103109257","-0.114531179"," 0.077188383","-0.116706833","-0.144015718","-0.130769436","-0.112873623","-0.097785823","-0.127542624","-0.087153917","-0.130630206","-0.009416451","-0.082691256","-0.106556759"," 0.223103985","-0.048829876","-0.046988433"," 0.160044820"," 0.190693290"," 0.034187564"," 0.181144922"," 0.178612155"," 0.637982863","-0.362017137","-0.362013251"
"2-Keto-glutaramic acid"," 0.181496094"," 0.156468322"," 0.042293815"," 0.035539975"," 0.283302465","-0.168508069","-0.061668613","-0.138050403","-0.192241794","-0.060985649","-0.157304607","-0.128548946","-0.028144407","-0.207587677","-0.132346563","-0.161094250","-0.159018520","-0.184548449","-0.193089075","-0.188925952","-0.137260488","-0.187023322","-0.035721470","-0.058206627","-0.187137633","-0.093022146"," 0.247285678","-0.066577727","-0.123024313"," 0.740069421"," 0.764005192"," 0.783255036"," 0.006901924","-0.014810454"," 0.290557871","-0.132262578"," 0.057252227","-0.102252914","-0.072320409","-0.216744964"
"D-4-Hydroxy-2-oxoglutarate","-0.062284324","-0.200293210","-0.157017199","-0.101637903","-0.123334899","-0.148091107"," 0.112789613"," 0.675747111"," 0.004339534","-0.092001902","-0.244846326","-0.324252889","-0.114274245"," 0.537851474","-0.142537715","-0.158839305","-0.183656058","-0.256183721","-0.075676970","-0.183215904","-0.308242422","-0.146895052","-0.134288430","-0.040440469"," 0.048599168"," 0.009709882"," 0.033172184","-0.037217973"," 0.149928447"," 0.133163142","-0.060938195"," 0.332983068"," 0.102194879","-0.037518495"," 0.663762590"," 0.020036692"," 0.197409733"," 0.114759537","-0.020772994"," 0.218010652"
"Indoleglycerol phosphate"," 0.008634789","-0.044876736"," 0.077978650"," 0.007331692"," 0.156107332"," 0.089885017","-0.014542793","-0.077745908"," 0.126372725"," 0.034432840","-0.004981852","-0.027316500","-0.069551373","-0.085292464","-0.120737685","-0.120810008","-0.125818736","-0.119482203","-0.161598915","-0.131315803","-0.020016566","-0.062125035"," 0.026576444"," 0.546574295","-0.105197970"," 0.105911355","-0.045425357","-0.116140098","-0.049515293","-0.005327986"," 0.175386782","-0.070820687","-0.136599030","-0.061531076","-0.072024228","-0.093248984","-0.100254953","-0.012848928","-0.138445838"," 0.838401085"
"Kyotorphin","-0.02743899","-0.02734432","-0.02737039","-0.02756780","-0.02737500","-0.02740141","-0.02750667","-0.02742536","-0.02753623","-0.02750484","-0.02744438","-0.02736783","-0.02749976","-0.02739788","-0.02738782","-0.02751763","-0.02717316","-0.02746871","-0.02749286","-0.02753389","-0.02738579","-0.02721174","-0.02597207","-0.02662640","-0.02624438","-0.02518470","-0.02649527","-0.02551904","-0.01587047","-0.01788255"," 0.97215175","-0.02784825","-0.02784825","-0.02784825"," 0.02311809","-0.01903755","-0.02197075","-0.02487416","-0.02588364","-0.02681163"
"5,6-Dihydro-5-fluorouracil"," 0.564955389"," 0.543411263"," 0.196460200"," 0.007032965","-0.148570718","-0.263886755"," 0.571505013"," 0.358063082","-0.079065695","-0.233720654"," 0.182450313","-0.112987136","-0.265228418","-0.139729131"," 0.318332364","-0.182613362"," 0.069488799"," 0.734771582","-0.185184362","-0.262641990","-0.245673211","-0.244698195"," 0.280094496","-0.222887566","-0.234683557"," 0.547743187","-0.208500710"," 0.071747328"," 0.109581469","-0.211584312","-0.195474617","-0.176415316"," 0.282234895","-0.231613393","-0.233188304"," 0.180781137","-0.233431710","-0.233631591","-0.237268017","-0.235974761"
"5-Nitro-2-(3-phenylpropylamino)benzoic acid"," 0.73630010"," 0.04991203","-0.04849745"," 0.76865731"," 0.14372139","-0.17781468","-0.17144326"," 0.15232464","-0.04479796"," 0.03998760"," 0.19064069"," 0.27251600","-0.03814376"," 0.11658822"," 0.25825945","-0.23134269","-0.11780948"," 0.06117593"," 0.01372674","-0.15807616","-0.11212717","-0.08843881","-0.10163749","-0.07387536","-0.12299045","-0.08337835","-0.06001622","-0.13108079","-0.11489935","-0.04438658","-0.12375280","-0.07641243","-0.08832665","-0.12030507","-0.08910759","-0.08399796","-0.08427961","-0.03940000","-0.05158521","-0.12588674"
"Maltol","-0.1304572706","-0.0624454652","-0.1302514900","-0.1274035285","-0.1289865432","-0.0520501967"," 0.0816889487"," 0.0515101577"," 0.8695427294","-0.1282327330"," 0.3398468772","-0.1235110468","-0.1160022012"," 0.4989113369","-0.0961433751","-0.1252276421","-0.1142976741","-0.0200924236","-0.1077759451","-0.0812821453","-0.1242944530","-0.0130915467","-0.0430695076"," 0.0091719473","-0.0246839660","-0.0007940044","-0.0438893976","-0.1173426650","-0.0422789117","-0.1079633114"," 0.1836998880"," 0.1548427025","-0.1117204415"," 0.0631001751"," 0.0633248342","-0.1094662559"," 0.2510528476","-0.0497187567","-0.1128695450","-0.1213500013"
"2-Deoxy-scyllo-inosose"," 0.150786718"," 0.160447624"," 0.065542466"," 0.219577214"," 0.114246585"," 0.179965626"," 0.148839744","-0.064982678","-0.079293657"," 0.036868953","-0.085348198"," 0.188496727"," 0.286714982"," 0.073962179"," 0.115271846"," 0.429680175"," 0.196691707"," 0.091649848"," 0.245593678"," 0.656719324"," 0.086187166","-0.119908901"," 0.003821259","-0.026755936","-0.164018305","-0.255369203"," 0.104334862","-0.106153222","-0.312419339","-0.057898199","-0.338674868","-0.274591823","-0.343280676","-0.198556477","-0.242999224","-0.096677474","-0.193891788","-0.195349847","-0.097378595","-0.301850277"
"2-Amino-3-phosphonopropionic acid"," 0.0148020035","-0.0154469666","-0.0611478011","-0.0729513401","-0.2595037308"," 0.0639294321","-0.0887239656"," 0.0034816443","-0.1204475493","-0.0048250804","-0.0890865403","-0.1046734799","-0.0586358930","-0.1203131444","-0.1283840699","-0.2582858700","-0.1062550215","-0.1652572707","-0.1685726796","-0.2154956904","-0.3559072403","-0.2206903003"," 0.0205007026"," 0.1784885376"," 0.0006781286"," 0.3260658312","-0.0169120073"," 0.2957021082"," 0.0367279485"," 0.6440927597","-0.0112163005"," 0.2071974617"," 0.1801751932"," 0.4487179663"," 0.1538470215"," 0.2683549646"," 0.0260820994"," 0.2534932314","-0.1528108208","-0.3267942721"
"Sphinganine 1-phosphate"," 0.0085662368","-0.2532495916","-0.0803000578","-0.1122043841","-0.0484200449"," 0.0827161689","-0.1088185060","-0.0571553445","-0.0183624995","-0.1040381015","-0.0489708383","-0.0069036975","-0.0109887759","-0.1909611656","-0.0416661493","-0.1096700602","-0.2023067812","-0.1838763190","-0.1861424897","-0.1833086964"," 0.0524691998"," 0.0838452710"," 0.0306100159"," 0.1787886129"," 0.0774872983"," 0.1784176196"," 0.7467504084","-0.1346999170"," 0.0007421035"," 0.1256102313"," 0.2176538640"," 0.2424829007","-0.0447003041","-0.0342465886"," 0.0345840377"," 0.1385580547"," 0.0481487158"," 0.1076359312","-0.1524607709","-0.0416155865"
"Gabapentin"," 0.796979596"," 0.196195094"," 0.115658042","-0.004651690"," 0.053114469"," 0.153849036"," 0.119625251"," 0.164229771"," 0.158847854"," 0.102223352"," 0.054828412"," 0.173939598"," 0.088537890"," 0.252613164","-0.004412677"," 0.122892900"," 0.122903118","-0.020294827"," 0.101963179"," 0.128890820","-0.045564794","-0.127073706","-0.195406952","-0.090507637","-0.199671939","-0.088944068","-0.193297108","-0.195784477","-0.197163004","-0.178968162","-0.197609169","-0.125032384","-0.009539623","-0.203020404","-0.085875735","-0.194119324","-0.199951746","-0.190215813","-0.065085920","-0.095100385"
"(S)-4-Hydroxymandelate","-0.025664185"," 0.019203193","-0.200548604","-0.015087388","-0.150444600","-0.270941942"," 0.185648529"," 0.254095101"," 0.114599112"," 0.089606729"," 0.148636106","-0.087713691","-0.222676318","-0.093136481"," 0.017287425","-0.153762965","-0.135730003","-0.081054156","-0.248017566","-0.184715573","-0.018397153","-0.154437907"," 0.020746453"," 0.110339771","-0.049212339"," 0.100867275"," 0.031790318","-0.258481618"," 0.008015993","-0.030722782","-0.148808978"," 0.729058058"," 0.560799412"," 0.112435628"," 0.412942804","-0.054648985"," 0.032108881","-0.167645539","-0.253853125"," 0.057521107"
"5-Hydroxypyrazinamide","-0.017469616","-0.143604250","-0.148554369","-0.052075058","-0.312910324","-0.111638712","-0.439064472","-0.222254862","-0.194914303","-0.097289812","-0.337268816","-0.285147918","-0.276903932","-0.302762692","-0.100034155","-0.063009387","-0.172808690","-0.173213937","-0.127215013","-0.227814604","-0.058534568","-0.051680883","-0.002517261","-0.069847630"," 0.072706846"," 0.151183319"," 0.207267179"," 0.185895173"," 0.071663513"," 0.091305599"," 0.279233115"," 0.535585390"," 0.554522777"," 0.272996515"," 0.230220336"," 0.560935528"," 0.138508051"," 0.251857743","-0.068125095"," 0.452779272"
"Ribavirin"," 0.0656873279"," 0.0759210956"," 0.0144095153"," 0.0967281736","-0.0111071053"," 0.0639937052"," 0.0696205436"," 0.1388759050"," 0.0753668062"," 0.0479233849","-0.0061995631"," 0.0131225153","-0.2420200820"," 0.0976893896","-0.2706458764","-0.0032224138","-0.2727862769","-0.0243375541","-0.0595695511","-0.0007505075","-0.1004823015","-0.0612075517","-0.0207333837"," 0.1773223282","-0.1046198471"," 0.0113640995"," 0.0930758677","-0.0775682094","-0.0323594582","-0.1425968625","-0.0206270862","-0.0334061126","-0.0122287939","-0.1007851294","-0.0290729871"," 0.0381097514","-0.0361461148","-0.2347334334"," 0.0907820697"," 0.7272137231"
"Acetoacetic acid","-0.088896123"," 0.028432980","-0.096461780","-0.115628427","-0.166372675"," 0.001220704","-0.120113128"," 0.020754072","-0.173037242","-0.021163571","-0.169495448","-0.165581424"," 0.024652858","-0.064391348","-0.029308099","-0.079162569","-0.095677087","-0.129409149","-0.118223298"," 0.046268091","-0.076716862"," 0.016680942"," 0.066362608"," 0.824639759"," 0.013284657"," 0.077122868"," 0.020821761","-0.024197229"," 0.053143320"," 0.169764850"," 0.228847315"," 0.129652686","-0.175360241","-0.056364986"," 0.141552993","-0.126758803"," 0.073585597"," 0.174512935"," 0.017410884","-0.036392389"
"3-Methylindolepyruvate"," 0.10233917"," 0.09553561","-0.02263983"," 0.02830538"," 0.08182236","-0.03952354"," 0.13343443"," 0.13411015","-0.03133337"," 0.04893510"," 0.00698995","-0.03933623"," 0.01505682","-0.03465564"," 0.25883635","-0.06437708","-0.04224578"," 0.09727186","-0.07042901","-0.04184766"," 0.11760537"," 0.13085645"," 0.89640460","-0.10359522","-0.10359540","-0.10359505","-0.10359488","-0.10359529","-0.10359518","-0.10359484","-0.10359530","-0.10359489","-0.10359501","-0.10359518","-0.10359488","-0.10359530","-0.10359490","-0.10359472","-0.10359474","-0.10359466"
"Myclobutanil","-0.04778936"," 0.12069771"," 0.03897995"," 0.03540349"," 0.16867708","-0.08389173"," 0.23940122","-0.02163191"," 0.08651491","-0.02942107","-0.09235608"," 0.11649401"," 0.16869372"," 0.11857586","-0.10037717","-0.07324482","-0.07383275","-0.06320458","-0.18898271","-0.16220288","-0.28983279"," 0.05293429","-0.23598705","-0.02320458","-0.06559375","-0.29584576","-0.07436151"," 0.09205234","-0.13332961"," 0.44469751","-0.07825385","-0.06850491","-0.20433179"," 0.03921863","-0.23200338"," 0.13326130","-0.11470027"," 0.26298532","-0.06985728"," 0.70415424"
"Thymyl acetate"," 0.1849777667"," 0.2889553543"," 0.6351925145","-0.2150440734","-0.1632226126"," 0.0869050655","-0.1439786380","-0.0869785996","-0.2015208504","-0.0754175580","-0.2346275472","-0.0411385184","-0.2307461368"," 0.5860328086"," 0.6004022529"," 0.4677193697"," 0.5387247046","-0.1629203072","-0.3648074855"," 0.1055069353","-0.1870526059","-0.0982839490","-0.0319933696"," 0.0008771621","-0.1199623926","-0.1110749755"," 0.0098544630","-0.1193940519","-0.1184422892"," 0.0509483827","-0.1099724624","-0.0438403090","-0.1215811242","-0.1753980983","-0.0290669442","-0.2820184448","-0.0670935349","-0.0725928513"," 0.3585742388","-0.3065012886"
"5-Hydroxyindolepyruvate","-0.260428390","-0.007933877"," 0.027007202"," 0.171934306","-0.212952408","-0.149174363","-0.067270608","-0.126525334","-0.146592327"," 0.355458170","-0.016838499","-0.151264794","-0.026391660","-0.119177017","-0.127918295","-0.040143263","-0.104403205","-0.236804085","-0.034856009","-0.100763966","-0.115688919","-0.062792008"," 0.140079364"," 0.389653751","-0.015225924","-0.093752087"," 0.103375287","-0.058955061"," 0.012150058","-0.037544083"," 0.501455107"," 0.073783606","-0.059585655","-0.139727538"," 0.085746963"," 0.012444633"," 0.739571610","-0.001401744"," 0.102319870","-0.200868809"
"Withaferin A","-0.163240776","-0.125437675","-0.131801346","-0.132249744","-0.104004810","-0.144531955","-0.155422972","-0.164307189","-0.143415697","-0.149888785","-0.171957008","-0.132028538","-0.129076505","-0.099827685","-0.158564075","-0.149036381","-0.148507604","-0.177231933","-0.148450579","-0.154030462","-0.171405921","-0.092936962","-0.180387682","-0.102293267"," 0.004615509","-0.130201124","-0.013618365"," 0.146607349"," 0.098211547"," 0.627434878"," 0.253864358"," 0.205463763"," 0.102535909"," 0.420928550"," 0.201494773"," 0.452567575"," 0.167983045","-0.163860310"," 0.236395777"," 0.819612318"
"4-Hydroxy-2-oxoglutaric acid","-0.03804510"," 0.11863949","-0.04966441"," 0.08349454","-0.12921603","-0.26982910"," 0.15250641"," 0.39414254"," 0.26196770"," 0.02868145"," 0.09816787"," 0.02647758","-0.16680507"," 0.12527708"," 0.17369086"," 0.02568849","-0.03950249"," 0.09614259","-0.11911591","-0.04600198"," 0.04599200","-0.09062122"," 0.07215587"," 0.25383486","-0.23346665"," 0.15036123","-0.03363383","-0.42329657"," 0.05470580","-0.25983701","-0.42987955"," 0.38605816"," 0.49437013"," 0.07564926"," 0.42288930","-0.20777709","-0.21056377","-0.27723658","-0.50562987","-0.01077100"
"3-(3,4-Dihydroxyphenyl)pyruvate"," 0.076820957","-0.041140369","-0.044245482"," 0.177735675"," 0.269234761"," 0.028520997"," 0.082464677"," 0.029398583","-0.002985143"," 0.043575912"," 0.131760699","-0.077901895"," 0.070015537"," 0.178489652","-0.081278324"," 0.250939808"," 0.126303693"," 0.009296654"," 0.083634565"," 0.013634613"," 0.040646937"," 0.276011454"," 0.853280653","-0.146718944","-0.146719347","-0.146718549","-0.146718190","-0.146719096","-0.146718852","-0.146718081","-0.146719125","-0.146718200","-0.146718462","-0.146718856","-0.146718171","-0.146719119","-0.146718236","-0.146717829","-0.146717868","-0.146717687"
"Isochorismate","-0.38208100"," 0.25315424","-0.35447695","-0.35039011","-0.37086906"," 0.11531613","-0.38053515","-0.36070721","-0.33623826","-0.07627760","-0.39904714","-0.05229034"," 0.42584294","-0.09704970","-0.39691243"," 0.06904924","-0.40529304","-0.20174598","-0.10239482"," 0.59470696","-0.15274451"," 0.18080425","-0.16513798"," 0.28740387","-0.01867342","-0.01308053"," 0.52552906"," 0.20837232"," 0.03424131"," 0.26326344"," 0.26166945"," 0.06086991"," 0.33508162"," 0.18656688"," 0.44796187"," 0.04271059"," 0.02830544"," 0.07038472"," 0.25603007","-0.03131909"
"Suberic acid"," 0.0289549135"," 0.0829730019"," 0.8344782866"," 0.6051932305"," 0.6040748538"," 0.3962090122"," 0.3391810143"," 0.0797120711"," 0.1452068134","-0.1077045448","-0.1306802930"," 0.0159975430"," 0.0302784348"," 0.0003734096","-0.1302678674","-0.1489922555","-0.1525558509","-0.0483361181","-0.1605098869","-0.0970366304","-0.1289978828","-0.1003633018","-0.1655217134","-0.1130837924","-0.1180141632","-0.1635797875","-0.1615565809","-0.1009451193","-0.1231248217","-0.0855552221","-0.1076984179","-0.0969475307","-0.0963674779","-0.0991360406","-0.1095456189","-0.1100598854","-0.1093193279","-0.0733587841","-0.0745379978","-0.0488356713"
