"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"Phenylacetic acid"," 0.139079746"," 0.017863486"," 0.041983387"," 0.097787887"," 0.103988265"," 0.249694193"," 0.107389457","-0.007395104"," 0.130806036"," 0.100100217"," 0.009549259"," 0.026009187"," 0.083384858"," 0.048419940"," 0.080918856"," 0.077367262"," 0.093588617"," 0.048086392"," 0.051505388"," 0.065295898","-0.128273208","-0.128272141","-0.128272291","-0.128271452","-0.128272160","-0.128270759","-0.128270129","-0.128271718","-0.128271289","-0.128269937","-0.128271769","-0.128270145","-0.128270606","-0.128271297","-0.128270095","-0.128271758","-0.128270209","-0.128269494","-0.128269563"," 0.871726792"
"5-Hydroxyindoleacetic acid","-0.163220974","-0.150164148","-0.192653235","-0.065020242"," 0.120082166","-0.268289370","-0.170996843","-0.041545092"," 0.011445845","-0.232367675","-0.205945327","-0.023855209"," 0.114000459","-0.018703084"," 0.457492830"," 0.104485336","-0.099544984","-0.175937899","-0.203370041","-0.194680201"," 0.109484672","-0.062998627","-0.105960422","-0.106466306"," 0.050083796","-0.037089224","-0.109146921"," 0.024501333","-0.089364502","-0.059924691"," 0.093813785"," 0.037487430"," 0.170822598"," 0.107218301"," 0.177352617"," 0.639426259","-0.109844412","-0.003631153","-0.058687472"," 0.731710630"
"Methyl jasmonate"," 0.23956583"," 0.02190155","-0.02357070","-0.03009770"," 0.00509415"," 0.12766092"," 0.01133430"," 0.09064473"," 0.07502631"," 0.19969061"," 0.29467825"," 0.15888655"," 0.15245719"," 0.16913278"," 0.14737109"," 0.23406438","-0.04345885"," 0.11367613"," 0.15865590"," 0.25292933","-0.16778519","-0.16778360","-0.16778382","-0.16778257","-0.16778363","-0.16778154","-0.16778060","-0.16778297","-0.16778233","-0.16778031","-0.16778304","-0.16778062","-0.16778131","-0.16778234","-0.16778055","-0.16778303","-0.16778072","-0.16777965","-0.16777975"," 0.83221481"
"(S)-1-Phenylethanol","-0.0302109328","-0.0076740383"," 0.0002509154","-0.0053686295","-0.0033109079","-0.0385708233","-0.0056847993"," 0.0004138816","-0.0057359196","-0.0470063912","-0.0313913815"," 0.0413575242","-0.0194575256"," 0.0512523098"," 0.0059205216"," 0.0024644107","-0.0186405654","-0.0608049341","-0.0411611062","-0.0362213380","-0.0462202968","-0.0292729582","-0.0449560453","-0.0366759033","-0.0363036307","-0.0424275745","-0.0451127846","-0.0469187920","-0.0459607649","-0.0222045507","-0.0431565511","-0.0123561467","-0.0404122448","-0.0366513163","-0.0355047026","-0.0229770599"," 0.0415822845"," 0.9317029096","-0.0682970904","-0.0682970516"
"Inosine"," 0.001968959"," 0.051474960"," 0.869991415"," 0.568589662"," 0.563269378"," 0.302887589","-0.071433419","-0.076523882"," 0.185835916"," 0.176117315","-0.109565477","-0.114729575","-0.025908027","-0.076063901","-0.112252310","-0.108351796","-0.083603868","-0.042615745","-0.116904690"," 0.008422893","-0.129031976","-0.129937937","-0.129590444"," 0.333307709","-0.129250796","-0.114932837","-0.129578861","-0.129898475","-0.006922824","-0.044021291","-0.020636337","-0.129647594","-0.129676074","-0.130008585","-0.129500588","-0.129561835","-0.128939501","-0.129441690","-0.128838349","-0.124497111"
"Sorbitol","-0.0919140256","-0.0630112553","-0.0337866795","-0.1085860242","-0.0850091844","-0.0574571107","-0.0410076811"," 0.4287829173"," 0.0222048133"," 0.0946692041"," 0.3196797129","-0.0687776962","-0.0596918348"," 0.0730571572"," 0.0277435943"," 0.5445766887"," 0.0180226908"," 0.4000868508","-0.0927613993"," 0.0001354126","-0.0277118760","-0.0325901375"," 0.0950639769"," 0.2711646212","-0.0958196576"," 0.1470144729","-0.0838647107","-0.2517768890","-0.0800785087","-0.1322542736","-0.0524515271","-0.2242415330","-0.2230792524","-0.1966208962","-0.0309912104","-0.2526361210"," 0.0187491834"," 0.6417221875","-0.3582778125","-0.3582761870"
"L-Aspartic acid"," 0.08094116"," 0.34019603"," 0.24779027"," 0.06073583"," 0.30853040"," 0.20437426"," 0.37745220"," 0.52035207"," 0.62497821"," 0.08846273"," 0.15471761"," 0.44719108","-0.07060765","-0.08373225","-0.00138872","-0.09519960"," 0.03999600","-0.18708959","-0.06121017"," 0.02917245"," 0.15837311","-0.28150547"," 0.01392230","-0.30430256","-0.34279355"," 0.09828644","-0.32656139","-0.10474609","-0.14151527","-0.04115177","-0.15459216","-0.08423644","-0.12291029","-0.15315489","-0.07540923","-0.14297839","-0.37502179","-0.21275728","-0.17433822","-0.25826937"
"Indole"," 0.186912380"," 0.055992040"," 0.033462314","-0.017908893"," 0.037913542"," 0.031576505"," 0.157940545"," 0.150713809","-0.071999159"," 0.162371022","-0.122774274","-0.050173341","-0.062213280","-0.136721175"," 0.167752828"," 0.038028842","-0.040030291","-0.029253921","-0.233384161","-0.034732298","-0.136816100","-0.074431302"," 0.039713514","-0.081258326","-0.016556998","-0.016925436","-0.034277805"," 0.009129635","-0.071352954","-0.133815564","-0.083607613"," 0.030680406","-0.168354365","-0.292729470"," 0.002211484","-0.024729435","-0.094836374"," 0.205389996"," 0.011823145"," 0.707270530"
"Dodecanedioic acid"," 0.341239533"," 0.449854095"," 0.312604945"," 0.271493961"," 0.288910534"," 0.405772544"," 0.122100760"," 0.119552963"," 0.017670746"," 0.353092591","-0.003123298"," 0.010610647"," 0.086863780"," 0.002184270"," 0.124307990","-0.013476045"," 0.021347694","-0.199793500","-0.152885442","-0.012926658","-0.186568115","-0.018894594","-0.125907751","-0.504287312","-0.138429740"," 0.016531984"," 0.041029119","-0.162109126","-0.128600678"," 0.022959633","-0.129749938","-0.031338209","-0.051300168","-0.075579899","-0.062935875","-0.127481833","-0.051434680","-0.550145905","-0.062308912","-0.218850105"
"Ubiquinone-1"," 0.364562393"," 0.459049260"," 0.193060437"," 0.293951464"," 0.308520193","-0.167268725"," 0.322063500","-0.237604290"," 0.005180726"," 0.135930088","-0.179254275"," 0.257015951","-0.085085026"," 0.651431031"," 0.177029656"," 0.411090558"," 0.093264546","-0.175970414","-0.215432032"," 0.090468515","-0.132266858","-0.120901808","-0.101773498","-0.238062985","-0.047504222","-0.091155413","-0.176834996","-0.203129378","-0.269950207"," 0.063468664","-0.272502849","-0.255552722","-0.285037580","-0.348568969","-0.178829885","-0.272977869","-0.131047338"," 0.112070913","-0.143647959"," 0.392201402"
